elements,node1,node2,node3,node4,X,Y,Z,X_sel1,Y_sel1,Z_sel1,X_sel2,Y_sel2,Z_sel2,X_sel3,Y_sel3,Z_sel3
1,284,285,280,281,40,32.5,0,40,35,0,42.5,35,0,42.5,32.5,0
2,285,276,277,280,40,35,0,40,37.5,0,42.5,37.5,0,42.5,35,0
3,269,270,285,284,37.5,32.5,0,37.5,35,0,40,35,0,40,32.5,0
4,270,271,276,285,37.5,35,0,37.5,37.5,0,40,37.5,0,40,35,0
5,281,282,286,284,42.5,32.5,0,42.5,30,0,40,30,0,40,32.5,0
6,284,286,268,269,40,32.5,0,40,30,0,37.5,30,0,37.5,32.5,0
7,282,283,287,286,42.5,30,0,42.5,27.5,0,40,27.5,0,40,30,0
8,286,287,267,268,40,30,0,40,27.5,0,37.5,27.5,0,37.5,30,0
9,283,241,242,287,42.5,27.5,0,42.5,25,0,40,25,0,40,27.5,0
10,287,242,243,267,40,27.5,0,40,25,0,37.5,25,0,37.5,27.5,0
11,288,290,225,226,47.5,32.5,0,47.5,35,0,50,35,0,50,32.5,0
12,290,279,224,225,47.5,35,0,47.5,37.5,0,50,37.5,0,50,35,0
13,281,280,291,289,42.5,32.5,0,42.5,35,0,45,35,0,45,32.5,0
14,289,291,290,288,45,32.5,0,45,35,0,47.5,35,0,47.5,32.5,0
15,280,277,278,291,42.5,35,0,42.5,37.5,0,45,37.5,0,45,35,0
16,291,278,279,290,45,35,0,45,37.5,0,47.5,37.5,0,47.5,35,0
17,226,227,292,288,50,32.5,0,50,30,0,47.5,30,0,47.5,32.5,0
18,288,292,293,289,47.5,32.5,0,47.5,30,0,45,30,0,45,32.5,0
19,289,293,282,281,45,32.5,0,45,30,0,42.5,30,0,42.5,32.5,0
20,239,294,228,229,47.5,25,0,47.5,27.5,0,50,27.5,0,50,25,0
21,294,292,227,228,47.5,27.5,0,47.5,30,0,50,30,0,50,27.5,0
22,241,283,295,240,42.5,25,0,42.5,27.5,0,45,27.5,0,45,25,0
23,240,295,294,239,45,25,0,45,27.5,0,47.5,27.5,0,47.5,25,0
24,283,282,293,295,42.5,27.5,0,42.5,30,0,45,30,0,45,27.5,0
25,295,293,292,294,45,27.5,0,45,30,0,47.5,30,0,47.5,27.5,0
26,297,300,301,296,42.5,42.5,0,42.5,40,0,40,40,0,40,42.5,0
27,296,301,272,273,40,42.5,0,40,40,0,37.5,40,0,37.5,42.5,0
28,300,277,276,301,42.5,40,0,42.5,37.5,0,40,37.5,0,40,40,0
29,301,276,271,272,40,40,0,40,37.5,0,37.5,37.5,0,37.5,40,0
30,298,302,300,297,45,42.5,0,45,40,0,42.5,40,0,42.5,42.5,0
31,302,278,277,300,45,40,0,45,37.5,0,42.5,37.5,0,42.5,40,0
32,222,223,303,299,50,42.5,0,50,40,0,47.5,40,0,47.5,42.5,0
33,299,303,302,298,47.5,42.5,0,47.5,40,0,45,40,0,45,42.5,0
34,223,224,279,303,50,40,0,50,37.5,0,47.5,37.5,0,47.5,40,0
35,303,279,278,302,47.5,40,0,47.5,37.5,0,45,37.5,0,45,40,0
36,40,304,306,39,42.5,50,0,42.5,47.5,0,40,47.5,0,40,50,0
37,39,306,275,38,40,50,0,40,47.5,0,37.5,47.5,0,37.5,50,0
38,304,305,307,306,42.5,47.5,0,42.5,45,0,40,45,0,40,47.5,0
39,306,307,274,275,40,47.5,0,40,45,0,37.5,45,0,37.5,47.5,0
